hhid,land_total_acres,land_cultivated_acres,maize_harvest_qty,maize_unit,livestock_owned,livestock_types,usedom,climate_info_received,hh_head_gender,hh_size_total,hh_head_education,latitude,longitude,orgfert_quantity_2024,maize_harvest_qty_kg,climate_info_received_std,maize_yield_ton_acre
95,1.0,0.5,3.0,90 Kg bag,No,Not_Applicable,Yes,No,Male,4,Secondary,-0.063100516,34.96231395,90 kg bag,270.0,No,0.54
90,1.0,1.0,5.0,90 Kg bag,Yes,Dairy cows Sheep,No,No,Female,12,Primary,-0.223446317,34.86686969,90 kg bag,450.0,No,0.45
86,0.25,0.25,4.0,90 Kg bag,Yes,Poultry,No,Yes,Male,4,Certificate,-0.252861924,34.62652248,90 kg bag,360.0,Yes,1.44
84,1.0,0.5,20.0,Gorogoro (2 kg tin),Yes,Calves Other (specify),Yes,Yes,Male,10,Diploma,-0.254365136,34.95639865,gorogoro (2 kg tin),40.0,Yes,0.08
82,2.0,2.0,3.0,90 Kg bag,Yes,Dairy cows Goats,Yes,Yes,Male,6,Secondary,0.055590841,34.88632528,90 kg bag,270.0,Yes,0.14
80,0.5,0.5,3.0,90 Kg bag,Yes,Beef cattle,Yes,No,Male,6,Undergraduate degree,-0.09294521,35.00093971,90 kg bag,270.0,No,0.54
77,0.25,0.25,3.0,90 Kg bag,No,Not_Applicable,No,No,Female,10,Primary,-0.177588925,34.6230655,90 kg bag,270.0,No,1.08
75,0.5,0.25,2.0,90 Kg bag,Yes,Beef cattle,Yes,No,Male,6,Diploma,-0.301353919,34.86636898,90 kg bag,180.0,No,0.72
71,1.25,1.0,30.0,Gorogoro (2 kg tin),Yes,Goats Poultry Rabbits Sheep,Yes,Yes,Female,3,Secondary,-0.069711754,34.61941668,gorogoro (2 kg tin),60.0,Yes,0.06
70,0.75,0.5,1.0,50Kg bag,Yes,Poultry,No,Yes,Female,10,Primary,0.064065842,34.87930158,50 kg bag,50.0,Yes,0.1
56,1.0,0.5,1.5,50Kg bag,No,Not_Applicable,Yes,No,Male,4,Secondary,-0.275601977,34.82854403,50 kg bag,75.0,No,0.15
48,5.5,5.0,17.0,90 Kg bag,Yes,Dairy cows Poultry,Yes,NOOO,Male,15,Diploma,0.036140092,34.74108224,90 kg bag,1530.0,No,0.31
46,3.0,1.0,6.0,90 Kg bag,Yes,Dairy cows,No,Yes,Male,5,Diploma,0.056628871,34.62811495,90 kg bag,540.0,Yes,0.54
